,n_cells
ENSG00000273275,17438
ENSG00000273289,9761
ENSG00000273291,31763
ENSG00000273293,743
C1QTNF3-AMACR,2639455
ENSG00000273295,184028
ENSG00000273297,24878
ENSG00000273300,3600
ENSG00000273302,9711
ENSG00000273305,1175
ENSG00000273306,11684
ENSG00000273312,758
ENSG00000273314,24302
ENSG00000273319,253026
ENSG00000273320,26621
ENSG00000273321,1770
ENSG00000273325,3689
ENSG00000273329,490016
TM4SF19-DYNLT2B,22931
ENSG00000273335,702
ENSG00000273338,4983
MICE,159073
ENSG00000273341,63770
ENSG00000273342,910
PAXIP1-DT,226292
ENSG00000273345,100576
ENSG00000273348,74252
ENSG00000273355,4229
LINC02019,36334
ENSG00000273360,2685
ENSG00000273361,7202
ENSG00000273362,2227
ENSG00000273363,24033
ENSG00000273365,574
ENSG00000273367,4774
SFTPD-AS1,1750
SLC16A4-AS1,299379
ENSG00000273374,8410
ENSG00000273375,7745
ENSG00000273381,22188
TMEM167B-DT,55047
ENSG00000273384,2511
ENSG00000273387,3568
ENSG00000273388,1668
ENSG00000273391,19865
ENSG00000273394,706
LINC01396,5819
ENSG00000273398,863545
ENSG00000273399,6099
ENSG00000273403,250
ENSG00000273406,281
ENSG00000273407,1340
LINC02712,3309
ENSG00000273413,16941
LINC02725,121994
ENSG00000273416,5489
ENSG00000273419,6904
ENSG00000273424,10707
ENSG00000273428,4277
ENSG00000273432,16035
ENSG00000273437,48083
ENSG00000273442,3555
ENSG00000273443,4590
ENSG00000273444,2061
ENSG00000273445,79679
ENSG00000273447,61187
ENSG00000273448,78194
ENSG00000273449,67456
ENSG00000273450,5074
ENSG00000273454,13922
ENSG00000273455,9137
ENSG00000273456,49753
ENSG00000273461,1596
ENSG00000273464,7981
ENSG00000273471,291
ENSG00000273472,31729
ENSG00000273473,2508
ENSG00000273474,8151
ENSG00000273476,1661
ENSG00000273481,535
ENSG00000273483,4825
ENSG00000273485,8575
ENSG00000273486,192009
ENSG00000273487,14743
ENSG00000273489,25945
APP-DT,5376
ENSG00000273493,1588
ENSG00000273499,457
MIR6129,449
ENSG00000273507,426300
CNTNAP3P1,417
TBC1D3K,380
FOXD4L6,404
ENSG00000273521,36209
ENSG00000273523,278
ENSG00000273537,702
AGBL1,88889
H4C12,5509
Metazoa_SRP-16,1437
ENSG00000273550,3267
ENSG00000273552,3114
CWC25,1369157
ENSG00000273565,8094
ENSG00000273576,60768
ENSG00000273580,16275
ENSG00000273582,564
ENSG00000273590,7593
ENSG00000273595,376
ENSG00000273597,21002
ENSG00000273599,17233
EPOP,54789
ZNHIT3,755283
ENSG00000273618,4467
ENSG00000273619,15844
ENSG00000273628,4399
ENSG00000273637,35146
ENSG00000273639,1229
ENSG00000273654,38138
ENSG00000273669,19304
ENSG00000273674,380515
ENSG00000273675,2223
ENSG00000273679,361
ENSG00000273680,41765
ENSG00000273682,379
ENSG00000273687,4275
ENSG00000273702,26542
H2BC14,12032
LHX1,389
ENSG00000273711,38407
SUGT1-DT,12106
ENSG00000273724,81180
Metazoa_SRP-20,4266
U1-1,799
ENSG00000273729,113655
ENSG00000273733,670
ENSG00000273734,1411175
ENSG00000273736,657
ENSG00000273747,9029
ENSG00000273748,2699690
CYFIP1,2472061
ENSG00000273763,562428
ENSG00000273765,1286
L1CAM-AS1,1226
CEACAM20,3057
GTF2A1-AS1,26391
ENSG00000273784,275423
ENSG00000273791,491
H2BC8,87534
ENSG00000273805,817
LINC02970,4838
ENSG00000273816,5808
ENPP7P7,99551
USP27X,155601
ENSG00000273821,544
ENSG00000273824,96058
ENSG00000273828,207414
Metazoa_SRP-21,434
ENSG00000273838,252
ENSG00000273840,2039
TAF9,565852
SDR42E1P4,280
Metazoa_SRP-23,1251
ENSG00000273870,357
ENSG00000273877,638
ENSG00000273890,874
ENSG00000273891,17690
PMS2P8,1606
NOL12,99171
ENSG00000273901,1022
ENSG00000273919,1530
ENSG00000273920,622
ENSG00000273925,1026
ENSG00000273933,622
Metazoa_SRP-26,228
ENSG00000273956,2839
ENSG00000273958,1458
ENPP7P14,11608
ENSG00000273965,668
ENSG00000273971,464
ENSG00000273972,22487
ENSG00000273974,326
Metazoa_SRP-27,1509
ENSG00000273980,1614
H3C8,1780
ENSG00000273997,444
ENSG00000273998,4447
ZFP91P1,28519
Metazoa_SRP-31,2159
RN7SL2,68022
ENSG00000274015,534163
ENSG00000274019,1204
LINC01138,4926907
ENSG00000274021,28632
ENSG00000274024,2424
FAM27E3,1374
ENSG00000274029,6886
FAM230J,2312
INO80B-WBP1,49022
ENSG00000274055,1512
ENSG00000274064,476
ENSG00000274067,255
CASTOR2,392383
Metazoa_SRP-33,825
ENSG00000274090,4550
ENSG00000274092,771
ENSG00000274104,7596
ENSG00000274124,3560
Metazoa_SRP-34,4642
FADS2B,3100
ENSG00000274156,10083
ENSG00000274167,1173
LINC02967,2808
ENSG00000274177,2496
NATD1,170633
RBPJP2,222
ENSG00000274184,75629
ENSG00000274191,3209
Metazoa_SRP-35,667
ANTXRL,20686
RNVU1-27,5217
SOCS7,1036985
ENSG00000274213,18632
ENSG00000274214,2053
ENSG00000274215,3003
ENSG00000274220,33459
LINC03038,10527
ENSG00000274227,10652
ENSG00000274235,2984
ENSG00000274244,209
ENSG00000274253,8767
SYNGAP1-AS1,290798
ENSG00000274265,2682542
ENSG00000274269,35495
ENSG00000274270,27618
ENSG00000274272,35340
ENSG00000274276,1041
ENSG00000274281,2294
ENSG00000274282,314
ADRA2B,2275
H2BC6,174039
ENSG00000274292,142180
ENSG00000274294,735
ENSG00000274315,31664
LINC02334,17951
ENSG00000274322,1182602
ENSG00000274330,346
ENSG00000274340,3059
ENSG00000274341,165648
ENSG00000274342,495
ENSG00000274346,104012
ZNF658,166707
ENSG00000274363,2208
ENSG00000274370,6145
LINC02804,51580
ENSG00000274373,2047
ADAMTS7P1,37445
ENSG00000274383,240284
TMEM269,110369
ENSG00000274387,14651
TPTE,106405
ENSG00000274397,931
ENSG00000274400,12880
ENSG00000274403,5415
ENSG00000274414,7390
ENSG00000274422,2085084
SEC22B2P,22055
ENSG00000274425,26405
RNVU1-25,414
ENSG00000274441,48640
C8orf89,13061
ENSG00000274447,201
GUSBP7,3948
Metazoa_SRP-38,201
ENSG00000274460,135362
LINC02930,74228
LINC01746,1172
ENSG00000274471,121320
NPEPPSP1,220479
ENSG00000274492,694
ENSG00000274501,6379
ENSG00000274508,4224
Metazoa_SRP-40,317
TBC1D3L,1409
Metazoa_SRP-41,10731
ENSG00000274515,10299
RCC1L,1383440
ENSG00000274525,1249
ENSG00000274528,2221
SEBOX,965
MIR223HG,411611
ENSG00000274551,3521
ENSG00000274554,3131
ENSG00000274559,3364
ENSG00000274560,449
ENSG00000274561,157342
ENSG00000274562,5936
ENSG00000274565,728
ENSG00000274569,517
SPDYE10,25481
IGHV2-70,1516
SNORA16A,12262
ENSG00000274584,1844
DGKK,31424
Metazoa_SRP-42,568
PI4KAP1,85328
PCCA-DT,77173
TBC1D3,3295
ENSG00000274614,270
NPEPPSP1-1,76084
H4C6,48780
ENSG00000274629,16309
ENSG00000274630,2892
H2BC17,22702
ENSG00000274642,330228
ENSG00000274653,2571
TBC1D3JP,1047
LINC02371,2310
Metazoa_SRP-43,310
ENSG00000274666,258
ENSG00000274678,3548
ENSG00000274685,274
Metazoa_SRP-44,227
ENSG00000274695,5116
ENSG00000274698,3177
ENSG00000274717,12789
ENSG00000274723,930
ENSG00000274730,636
CCL23,31319
H3C6,86782
ENSG00000274751,12014
TRBV12-3,12133
ENSG00000274756,1333
ENSG00000274758,4162
ENSG00000274766,277
ENSG00000274767,576443
ENSG00000274769,24872
Metazoa_SRP-49,274
FSIP2LP,14380
ENSG00000274776,22475
ENSG00000274797,7971
TBC1D3B,4953
NPHP3-ACAD11,383203
ENSG00000274818,6120
ENSG00000274825,1971
LINC01297,3353
ENSG00000274828,41851
ENSG00000274833,12957
ENSG00000274834,220
BALR6,4262
Metazoa_SRP-51,20070
MAFIP,2149531
Metazoa_SRP-52,1116
ENSG00000274859,800
ENSG00000274863,5194
ENSG00000274893,335
ENSG00000274895,228
ENSG00000274902,3846
ENSG00000274903,758
ENSG00000274904,2715
ENSG00000274918,980
ENSG00000274922,79090
ZKSCAN2-DT,526177
KMT2CP3,2030
KRT89P,1420
TBC1D3I,377
ENSG00000274944,600
ENSG00000274949,145280
TEX28P1,2387
Y_RNA-736,30371
ENSG00000274979,172943
PTCHD3P1,392
ENSG00000274987,10190
ENSG00000274993,4277
H2AC12,26911
ZNF280B,162744
ENSG00000275005,611
ALOXE3P1,5035
ENSG00000275016,21434
ENSG00000275017,329
MLLT6,5433997
ENSG00000275040,672
PPP4R3B,5647583
ENSG00000275055,28567
SEPTIN7P15,1345
ENSG00000275063,4313
PDE4DIPP5,5088
SYNRG,6530729
Metazoa_SRP-56,1840
NUDT18,131934
ENSG00000275091,1818
ENSG00000275094,221
ENSG00000275097,4839
ENSG00000275103,3447
ENSG00000275106,19040
ZNF2,401471
ENSG00000275115,416
ENSG00000275119,1805398
ENSG00000275120,249386
H4C13,30364
PDE4DIPP2,1711024
ENSG00000275139,1827
SEC22B3P,2705
CCL16,2125
TRBV12-5,6206
RPL7AP45,5701
ENSG00000275173,671
ENSG00000275178,345
ENSG00000275180,89783
LENG9,76560
ENSG00000275185,6439
ENSG00000275186,441
FAM9CP1,358
ENSG00000275197,1462
LINC02960,23118
ENSG00000275202,30311
ENSG00000275210,21158
LINC02826,4734
ENSG00000275216,272
H2AC15,19310
ENSG00000275223,3200
LINC00547,601
ENSG00000275228,750
ENSG00000275232,3568
ENSG00000275234,10840
ENSG00000275236,47540
FAM242F,1926
TRBV16,1466
ENSG00000275254,486
ENSG00000275263,841
ENSG00000275265,5414
ENSG00000275278,1071
ENSG00000275285,551
ENSG00000275286,1062
RNVU1-26,591
LINC02340,608110
CCL4,424224
ENSG00000275318,76210
ENSG00000275320,529
PDCD6IPP1,6164
ENSG00000275327,312
SPDYE19P,10238
ENSG00000275329,3794
ENSG00000275332,3355
ENSG00000275339,1310
FGD5P1,1875
PRAG1,2042570
ENSG00000275348,9912
Metazoa_SRP-62,1062
LINC03043,1391
ENSG00000275367,19410
ENSG00000275371,2036
ENSG00000275372,665
GUSBP19,5353
H3C11,26344
ENSG00000275381,10830
ENSG00000275383,17113
CCL18,77612
ENSG00000275390,4670
ENSG00000275392,914
FCGBP,374385
ENSG00000275400,30293
ENSG00000275401,16274
ENSG00000275406,809
ENSG00000275409,3242
HNF1B,19904
ENSG00000275413,49138
ENSG00000275418,1706
ENSG00000275419,707
ENSG00000275431,24907
ENSG00000275438,6751
ENSG00000275441,11183
ENSG00000275443,40862
ENSG00000275445,2913
PTGER4P2-CDK2AP2P2,1667
ENSG00000275454,15133
ENSG00000275457,13721
Metazoa_SRP-64,2174
ENSG00000275464,154534
ENSG00000275465,4786
ENSG00000275476,3214
ENSG00000275479,4650
ENSG00000275481,194023
ENSG00000275488,10570
C17orf98,2682
LINC01730,94262
ENSG00000275494,6140
ENSG00000275496,5004
H3P25,585
ENSG00000275512,411
ENSG00000275527,1101
ENSG00000275532,84262
ENSG00000275540,300
STPG3-AS1,10748
ENSG00000275552,1051
ENSG00000275557,523266
RN7SKP175,6788
ENSG00000275559,219
SEPTIN7P12,4849
ENSG00000275569,3887
GRIFIN,927
ENSG00000275582,20606
PDE4DIPP4,2021
Metazoa_SRP-65,3602
XKR5,1600
ANAPC1P5,3256
ENSG00000275598,257
ENSG00000275607,528
ENSG00000275613,32671
ENSG00000275625,318
ENSG00000275630,3909
ENSG00000275636,1815
ENSG00000275638,85558
ENSG00000275645,1618
ENSG00000275649,17155
ENSG00000275654,735
RN7SL313P,242
ENSG00000275665,129251
ENSG00000275672,1249
ENSG00000275674,237953
CCL15-CCL14,2915
UBE2Q2P6,795
Metazoa_SRP-68,549
AATF,4607436
ENSG00000275709,32763
H2BC9,42876
H3C1,16062
CCL15,2128
ENSG00000275719,8314
ENSG00000275720,5653
LYZL6,6317
ENSG00000275734,47196
ENSG00000275740,437169
ENSG00000275741,38526
TRBV14,24723
ENSG00000275756,580
ENSG00000275759,7996
ZNF516-DT,4876
ENSG00000275772,6262
ENSG00000275778,5218
TRBV10-3,21219
RIMBP3,10505
ENSG00000275801,2185
ENSG00000275807,32342
HTR1DP1,1600
ENSG00000275812,238
ENSG00000275830,13835
ARHGAP23,140623
ENSG00000275833,49169
TUBGCP5,1200288
ENSG00000275846,46670
ENSG00000275857,20792
ENSG00000275871,2303
RN7SL43P,584
ENSG00000275880,2732
Metazoa_SRP-73,2164
IKBKGP1,16800
ENSG00000275895,268099
PRSS2,7662
ENSG00000275897,7946
ENSG00000275898,476
ENSG00000275902,10624
ENSG00000275910,20736
ENSG00000275936,2611
ENSG00000275944,22926
TBC1D3F,840
ENSG00000275956,957
ENSG00000275963,44980
ENSG00000275964,68220
SPDYE11,1072
Metazoa_SRP-77,465
SPACA7BP,1475
ENSG00000275993,22568
ENSG00000275995,884
ENSG00000275997,470
ENSG00000276003,714
ENSG00000276012,229
RN7SL301P,317
ENSG00000276017,440
ENSG00000276019,3295
DUSP14,120567
ENSG00000276030,10582
RN7SL197P,553
UHRF1,357252
ORAI1,883653
ENSG00000276063,8136
SLC23A4P,18745
CCL4L2,149747
ENSG00000276071,61031
ENSG00000276075,16831
ENSG00000276076,13115
CCL3L1,145244
ENSG00000276087,48723
FAM230F,500
Metazoa_SRP-79,219
ENSG00000276101,4339
ENSG00000276110,1799
FUT8-AS1,29351
ENSG00000276127,312
ENSG00000276128,4775
ENSG00000276131,2675
ENSG00000276136,111995
WHAMMP3,245345
MIR548AY,319
ENSG00000276148,15976
ENSG00000276150,104361
ENSG00000276166,12809
RN7SL1,68408
ELMO2P1,3442
H4C9,10767
ENSG00000276188,1618
ANKRD20A3P,1936
LINC00226,334
Metazoa_SRP-83,1652
ENSG00000276216,60052
PIK3R6,659621
TADA2A,1631610
OR4E1,4623
ENSG00000276241,322483
ENSG00000276250,8960
LINC02809,39337
ENSG00000276256,24300
ENSG00000276272,3114
ENSG00000276278,26143
ENSG00000276289,10417
RBBP4P3,584
FRG1HP,3062887
ENSG00000276292,11450
PIP4K2B,1507836
ENSG00000276302,92338
RN7SKP251,240
ENSG00000276317,34395
GTF2IP8,636
ENSG00000276345,19394
ENSG00000276348,232
ENSG00000276362,423
H2AC14,7680
ENSG00000276375,803
UBE2NL,1579
ENSG00000276384,2488
CNTNAP3P2,5036
ENSG00000276393,1413
Metazoa_SRP-86,205
LINC01879,474
TRBV13,12156
ENSG00000276406,436
ENSG00000276407,1576
ENSG00000276408,372
CCL14,923
H2BC3,15619
ENSG00000276412,3759
ENSG00000276417,4502
ENSG00000276418,49111
ENSG00000276422,291
FAM25C,975
ENSG00000276436,754
ENSG00000276445,9155
ENSG00000276449,69201
ENSG00000276454,24544
LINC03025-1,33043
ENSG00000276471,2516
LINC00540,1873233
ENSG00000276478,2410
ENSG00000276486,382
ENSG00000276488,3587
ENSG00000276490,2941
Metazoa_SRP-87,333
BMS1P14,2339
ENSG00000276502,444
ENSG00000276509,1719
ENSG00000276519,288
ENSG00000276523,10079
ENSG00000276524,6669
ENSG00000276527,7964
ENSG00000276529,78830
ENSG00000276535,1257
ENSG00000276538,660
ENSG00000276542,249
PCDHGB5,8031
HERC2P2,501146
TRBV18,81968
IGKV1D-13,245
ENSG00000276570,87669
ENSG00000276571,5672
MRPL30P1,1226
ENSG00000276578,3211
TRBV11-3,5296
RAB7B,335260
ENSG00000276605,2022
ENSG00000276620,1616
ENSG00000276627,385
DACH1,241400
ENSG00000276649,269779
ENSG00000276651,36674
ENSG00000276662,548
ENSG00000276663,2071
ENSG00000276667,418
ENSG00000276691,2392
ENSG00000276693,471
ENSG00000276698,13788
ENSG00000276702,9059
ENSG00000276706,353
CSPG4P10,422
YWHAEP7,919
PRSS47P,628
ENSG00000276718,49076
ENSG00000276724,3919
ENSG00000276727,1356
ENSG00000276728,225035
Metazoa_SRP-95,1623
Metazoa_SRP-96,2313
ENSG00000276742,2200
Metazoa_SRP-97,1062
PADI6,6306
ENSG00000276754,695
KMT2CP2,555
ENSG00000276759,1711
ENSG00000276768,13782
IGHV4-4,3089
LINC02227,15666
SNORD26,302
ENSG00000276791,46554
ENSG00000276805,16070
ENSG00000276814,17668
TRBV15,18331
ENSG00000276831,524
PMS2P13,1910
ENSG00000276842,676
ENSG00000276846,4052
ENSG00000276850,1542
ENSG00000276851,352
ENSG00000276854,230
ENSG00000276855,2102
ENSG00000276863,7442
ENSG00000276867,20343
ENSG00000276900,195553
H2AC16,10829
ENSG00000276929,481
ENSG00000276945,1596
GSTT4,774
ENSG00000276952,13656
TRBV12-4,27312
RN7SL769P,303
ENSG00000276957,1399
ENSG00000276960,389
ENSG00000276963,460
H4C5,315394
ENSG00000276968,5912
HYDIN2,42989
ENSG00000276984,1612
Metazoa_SRP-106,1150
ENSG00000276991,49016
ENSG00000276997,23065
DUSP12P1,1436
Metazoa_SRP-107,387
ENSG00000277007,80033
TEX28P3,1652
ENSG00000277020,13989
ENSG00000277022,19366
RMRP,145187
SNORA71-2,699
ENSG00000277035,211
Metazoa_SRP-108,14463
ENSG00000277047,3055
RNA5SP530,466
GTF2IP1,55174
HNRNPCL3,457
ENSG00000277066,264
H2AC8,50053
PRSS3P3,1219
ENSG00000277087,3670
CCL3-AS1,157722
ENSG00000277095,206
ENSG00000277096,408
ANKRD20A21P,7423
ENSG00000277117,72182
PMS2P14,446
Metazoa_SRP-111,699
ENSG00000277128,1769
LINC00235,50608
ENSG00000277144,9605
LINC00869,178401
TYW1B,2479053
ENSG00000277151,83830
ENSG00000277152,16975
H4C4,28352
ENSG00000277159,3426
PIGW,154338
ENSG00000277182,831
ENSG00000277186,291
ENSG00000277188,244
PRODH-1,2334
LINC01632,1195
CCDC92B,15911
ENSG00000277206,210
ENSG00000277214,24546
SPANXA2-OT1,127115
H2BC7,42266
ENSG00000277228,19813
GTSE1-DT,8045
ENSG00000277245,794
ENSG00000277247,1114
PCGF2,16582
RN7SL556P,2752
LHX1-DT,4815
ENSG00000277283,59067
ENSG00000277287,5067
ENSG00000277290,4639
ATP5F1AP10,977
ENSG00000277301,188432
ENSG00000277304,915
GOLGA6L6,543
ENSG00000277324,17505
SPDYE20P,9779
ENSG00000277332,1144
ENSG00000277350,240
SRCIN1,8592
ENSG00000277368,2742
ENSG00000277369,45404
Metazoa_SRP-118,889
ENSG00000277383,38982
Metazoa_SRP-119,326
ENSG00000277397,970
GPR179,5957
ENSG00000277400,389
SEC22B4P,96343
5S_rRNA-1,476
ENSG00000277423,18133
ENSG00000277425,26314
ENSG00000277426,1951
KDM5DP1,2524
MARCKS,2736874
ENSG00000277444,339
LINC02338,1478
CEBPB-AS1,128223
ENSG00000277453,543
Metazoa_SRP-122,333
ENSG00000277460,459
ZNF670,495408
ENSG00000277463,15588
ENSG00000277476,82554
PKD1L3,59678
ENSG00000277491,5029
SLCO4A1-AS2,71034
ENSG00000277498,3499
ENSG00000277501,7980
ENSG00000277504,1602
ENSG00000277511,87717
LINC03021-1,9383
LINC01796,10927
PNMA8C,251
ZNF630-AS1,10268
ENSG00000277543,218
ENSG00000277550,428
OR13C5,275
GOLGA8IP,4217
NEFL,48329
RN7SL575P,419
Metazoa_SRP-126,368
ENSG00000277597,2525
ENSG00000277602,5221
ENSG00000277611,135911
Metazoa_SRP-128,937
ENSG00000277619,497
ENSG00000277621,229
Metazoa_SRP-129,273
PGM5P3-AS1,8063
CCL3,613067
ENSG00000277639,3596
ENSG00000277651,411
ENSG00000277654,41187
OR2W1-AS1,8572
Metazoa_SRP-131,280
ENSG00000277675,1087
Metazoa_SRP-132,784
ENSG00000277684,2659
ENSG00000277688,16854
ENSG00000277690,525
ENSG00000277692,11340
ENSG00000277693,1592
ENSG00000277695,1564
ENSG00000277701,24135
NBEAP5,530
ENSG00000277711,239
ENSG00000277715,23592
LINC02255,2087
Metazoa_SRP-133,245
ENSG00000277728,11288
TRAC,2503358
ENSG00000277737,1657
ENSG00000277738,342
GOLGA6L17P,2680
ENSG00000277749,6999
ENSG00000277757,6360
SYT15B,7106
ENSG00000277763,4878
ENSG00000277767,53638
RBM22P4,419
H3C7,3401
PGM5P2,28784
ENSG00000277782,4523
PSMB3,1211900
Metazoa_SRP-136,5048
ENSG00000277795,2292
ENSG00000277797,303
ENSG00000277801,3024
ENSG00000277803,2184
ENSG00000277825,38001
ENSG00000277836,1051
LINC02391,564066
ENSG00000277855,592018
ENSG00000277856,3980
GOLGA6L22,209
ENSG00000277873,9634
ENSG00000277876,1934
ENSG00000277879,17867
TRBV17,390
NLRP3P1,3069
SNORA50C,3754
SRD5A2,8232
ENSG00000277895,6383
ENSG00000277901,10028
ENSG00000277913,4816
DDX6P2,4229
RNVU1-28,760
ENSG00000277922,271
OR52E5,871
ENSG00000277938,52246
ENSG00000277941,77831
Metazoa_SRP-138,13700
ENSG00000277954,6550
SENP3-EIF4A1,24466
ENSG00000277959,41460
ENSG00000277969,105993
ENSG00000277971,23113
CISD3,354522
ENSG00000277977,792
ENSG00000277978,1265
ENSG00000277981,276
LINC02351,9205
FAM30B,1348
ENSG00000277998,7061
ENSG00000277999,42452
ENSG00000278000,8561
ENSG00000278001,1982
ENSG00000278002,41809
Metazoa_SRP-141,257
ENSG00000278013,34589
ENSG00000278017,11453
RDM1,24787
TRBV7-9,54023
ENSG00000278041,438
FAM247B,432
DDX52,1927990
TEX28,1131
ENSG00000278058,12247
ENSG00000278060,2857
ENSG00000278075,5461
ENSG00000278083,399
ENSG00000278084,241
LUNAR1,6973
ENSG00000278095,3964
RNVU1-2A,1028
ENSG00000278107,5309
ZNF8,742975
ENSG00000278131,1246
P3R3URF-PIK3R3,21044
ENSG00000278147,1407
ENSG00000278151,6624
ENSG00000278153,1366
TSC22D1-AS1,122252
GLIDR,25885
SSTR3,211836
IGLV2-8,2893
ENSG00000278202,63300
ENSG00000278206,11016
ENSG00000278212,5510
CNTNAP3P5,536
LINC02139,8644
PRICKLE4,324
ENSG00000278231,11304
ENSG00000278237,259
CKAP2-DT,17117
ENSG00000278254,7676
MYO19,1847081
ENSG00000278266,8746
SNORA61,338
ENSG00000278275,8697
ENSG00000278276,35670
ENSG00000278291,2562
RFPL4AP6,845
TBC1D3C,361
ENSG00000278305,1054
GGNBP2,4332261
ZNF229,97305
ENSG00000278330,59729
VWA8-AS1,17181
ENSG00000278341,5651
ENSG00000278344,9388
ENSG00000278367,8500
ENSG00000278370,422
ENSG00000278376,122057
ENSG00000278383,5770
ENSG00000278384,108066
ENSG00000278385,516
ENSG00000278389,829
ENSG00000278390,506366
ENSG00000278399,17603
ENSG00000278410,2775
PMS2P2,32168
ENSG00000278419,199319
ENSG00000278445,2651
H2AC4,6237
ENSG00000278464,522
ENSG00000278467,7119
IGHV3-41,892
ZBTB2P1,23175
YRDCP1,517
ENSG00000278496,799
C17orf78,16553
ENSG00000278513,7789
ENSG00000278514,3099
ENSG00000278518,308
POTEB3,207
SNORD22-1,2495
ENSG00000278528,861
CHMP1B2P,71596
ENSG00000278531,759
DHRS11,80460
ACACA,2769360
ENSG00000278546,2247
TMEM191B,2659
PTPN20CP,8244
NR2E3,4847
ENSG00000278572,3483
H2BC10,52681
ENSG00000278595,612
TBC1D3E,1684
ENSG00000278601,51467
ENSG00000278607,7629
ZNF426-DT,3696
C11orf98,13739
BEND3P3,1212
MRM1,230726
ENSG00000278626,334
ENSG00000278627,13809
LINC02335,6181
ENSG00000278635,417
H4C1,9481
ENSG00000278638,17643
ENSG00000278654,1511
ENSG00000278655,249
TRAJ37,529
GOLGA6L10,10323
ENSG00000278665,2662
ENSG00000278668,19540
ENSG00000278673,26213
H2AC17,2587
IQCA1L,11584
ENSG00000278690,239
Metazoa_SRP-155,843
ENSG00000278703,7268
ENSG00000278704,653
H4C2,32212
NKILA,21663
ENSG00000278713,1602
MCM8-AS1,28592
ENSG00000278725,1000
ENSG00000278727,19222
ENSG00000278730,679110
ENSG00000278733,4453
ENSG00000278737,2179
ENSG00000278740,139085
ENSG00000278743,77806
ENSG00000278765,15545
ENSG00000278766,2561
BACE1-AS,306487
ENSG00000278769,6668
RN7SL3,11944
ENSG00000278791,406
LINC00624,132857
ENSG00000278816,9413
ENSG00000278817,6005
ENSG00000278819,108683
H3C10,18361
ENSG00000278830,513
ENSG00000278831,23418
ENSG00000278834,47086
ENSG00000278842,66506
MRPL45,533012
ENSG00000278847,5769
ENSG00000278865,11436
ENSG00000278866,1773
ENSG00000278869,42076
ENSG00000278875,2109
ENSG00000278876,8302
ENSG00000278881,2059
ENSG00000278887,372
ENSG00000278890,298
ENSG00000278895,612
ENSG00000278896,135090
ENSG00000278899,3410
ENSG00000278902,869
ENSG00000278903,1589
BANCR,2514
CEP83-DT,5783
ENSG00000278917,12556
ENSG00000278918,3907
ENSG00000278920,3469
EPB41L4A-DT,1018
ENSG00000278922,2394
ENSG00000278923,267
ENSG00000278924,217
ENSG00000278925,369
ENSG00000278931,3950
ENSG00000278932,20241
ENSG00000278936,5525
ENSG00000278942,2835
ENSG00000278943,1809
ENSG00000278944,2814
ENSG00000278948,75816
ENSG00000278952,808
ENSG00000278954,2180
ENSG00000278959,31721
ENSG00000278962,162520
ENSG00000278965,906
ENSG00000278966,2099
ENSG00000278967,689
ENSG00000278969,5596
HEIH,975217
ENSG00000278971,224
ENSG00000278973,213
ENSG00000278974,2030
ENSG00000278977,789
ENSG00000278982,3249
ENSG00000278986,973
ENSG00000278989,12488
ENSG00000278990,5430
ENSG00000278993,700
ENSG00000278996,949498
ENSG00000278997,57619
ENSG00000278999,7723
OR10A6,308
ENSG00000279006,233
OR51B2,616
ENSG00000279017,7898
ENSG00000279019,14929
ENSG00000279021,10288
ENSG00000279022,1133
ENSG00000279024,22140
ENSG00000279025,367
ENSG00000279026,13836
ENSG00000279033,7566
ENSG00000279035,21022
ENSG00000279039,9282
ENSG00000279043,213
PCDHB1-AS1,5334
ENSG00000279048,13223
ENSG00000279049,444
PWAR1,7997
ENSG00000279057,1091
AGAP14P,8670
ENSG00000279061,1247
